Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34
,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,96,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,97,,89,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,96,,92,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,92,,88,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,95,,93,87,87,83,76,74,69,67,,,,,,,,,,,,,,,,,,,,,
,97,,95,,93,92,90,80,76,74,69,67,,,,,,,,,,,,,,,,,,,,,
,97,,95,,93,92,90,77,74,73,73,71,,,,,,,,,,,,,,,,,,,,,
,93,,91,88,87,85,80,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,94,93,92,87,79,75,,,,,,,,,,,,,,,,,,,,,,,,,
,95,,88,87,87,83,76,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,,88,87,87,83,76,74,69,67,,,,,,,,,,,,,,,,,,,,,,,
,,92,90,77,74,73,73,71,,,,,,,,,,,,,,,,,,,,,,,,,
96,92,91,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,73,90,89,88,88,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,91,90,89,88,88,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,98,98,96,94,91,90,88,85,82,81,,,,,,,,,,,,,,,,,,,,,,,
99,98,98,96,94,93,87,83,81,78,77,,,,,,,,,,,,,,,,,,,,,,,
99,98,98,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,97,96,93,90,85,84,79,,,,,,,,,,,,,,,,,,,,,,,,,,
97,97,96,93,90,85,84,79,,,,,,,,,,,,,,,,,,,,,,,,,,
97,97,96,93,90,85,84,79,,,,,,,,,,,,,,,,,,,,,,,,,,
97,94,92,88,85,80,76,75,,,,,,,,,,,,,,,,,,,,,,,,,,
